latitude,longitude
51.501426,-0.191834
51.508023,-0.199787
51.501474,-0.212581
51.517166,-0.203751
51.512443,-0.206531
51.491964,-0.161669
51.496893,-0.160606
51.481575,-0.181674
51.493896,-0.164473
51.517292,-0.217871
51.522528,-0.207432
51.512886,-0.217899
51.502393,-0.213842
51.514170,-0.207760
51.492093,-0.187306
51.509795,-0.192224
51.495379,-0.155769
51.483253,-0.185496
51.508884,-0.197303
51.494974,-0.199149
51.499623,-0.179947
51.507806,-0.203254
51.488776,-0.176346
51.498924,-0.198705
51.482260,-0.173725
51.493921,-0.195013
51.492941,-0.183959
51.505560,-0.215159
51.494682,-0.186051
51.495199,-0.178827
51.499374,-0.163964
51.514173,-0.196230
51.518359,-0.223018
51.517835,-0.212229
51.501670,-0.184332
51.484044,-0.184312
51.489352,-0.190296
51.494060,-0.174983
51.494633,-0.194552
51.521680,-0.222601
51.520529,-0.211979
51.502119,-0.213564
51.517625,-0.210219
51.520073,-0.211564
51.517796,-0.215545
51.491748,-0.159373
51.487153,-0.181884
51.500823,-0.193587
51.516899,-0.209815
51.486493,-0.179894
51.497729,-0.179590
51.504043,-0.192451
51.491661,-0.159520
51.498244,-0.201325
51.517454,-0.216712
51.492279,-0.164538
51.490090,-0.162609
51.495653,-0.196529
51.497035,-0.204542
51.521988,-0.201543
51.511923,-0.201939
51.517749,-0.206611
51.489352,-0.190296
51.480325,-0.182300
51.496466,-0.185115
51.490995,-0.157242
51.495660,-0.173766
51.492004,-0.187309
51.497217,-0.204679
51.493681,-0.179464
51.503037,-0.214825
51.492375,-0.193921
51.500338,-0.162341
51.500477,-0.194465
51.484361,-0.175802
51.499987,-0.185984
51.494682,-0.186051
51.492065,-0.156623
51.510027,-0.189765
51.494043,-0.191262
51.501656,-0.160415
51.480287,-0.185614
51.490037,-0.170678
51.497554,-0.203225
51.499614,-0.196805
51.501385,-0.160281
51.513094,-0.213855
51.504709,-0.212454
51.498589,-0.206210
51.501656,-0.160415
51.487113,-0.179293
51.482775,-0.177882
51.497035,-0.204542
51.509061,-0.197152
51.499160,-0.161812
51.496492,-0.169411
51.494902,-0.182872
51.517475,-0.206333
51.492241,-0.191045
51.526246,-0.215359
51.505576,-0.198587
51.500477,-0.194465
51.501484,-0.160854
51.522210,-0.204273
51.491957,-0.178524
51.499983,-0.179933
51.498328,-0.200890
51.493759,-0.178740
51.488481,-0.157488
51.482416,-0.172135
51.490715,-0.191250
51.484929,-0.154606
51.520858,-0.209948
51.484356,-0.158230
51.480977,-0.183714
51.483954,-0.184316
51.521619,-0.212657
51.484931,-0.154750
51.513692,-0.217723
51.517353,-0.210085
51.500477,-0.194465
51.482990,-0.185939
51.509376,-0.217748
51.490351,-0.162022
51.490998,-0.163149
51.518019,-0.206600
51.493598,-0.168374
51.519665,-0.226139
51.499127,-0.159652
51.480287,-0.185614
51.522888,-0.213328
51.504856,-0.216195
51.505049,-0.217052
51.500304,-0.194905
51.481929,-0.187133
51.519986,-0.211712
51.501910,-0.159396
51.501484,-0.160854
51.509374,-0.194114
51.484962,-0.185572
51.516092,-0.204081
51.489657,-0.175158
